Reference,Name,% faster than reference
lookup OO EQ (Int) 01 100000/DS,lookup OO EQ (Int) 01 100000/Map,73
lookup OO EQ (Int) 01 100000/DS,lookup OO EQ (Int) 01 100000/IS,-475
lookup OO EQ (Int) 01 100000/DS,lookup OO EQ (Int) 01 100000/TS,-24
lookup OO GE (Int) 01 100000 (500)/DS,lookup OO GE (Int) 01 100000 (500)/IS,-448
lookup OO GE (Int) 01 100000 (500)/DS,lookup OO GE (Int) 01 100000 (500)/TS,-630
lookup OM EQ (Int) 01 100000/DS,lookup OM EQ (Int) 01 100000/IS,-483
lookup OM EQ (Int) 01 100000/DS,lookup OM EQ (Int) 01 100000/TS,-160
lookup OM GE (Int) 01 100000 (500)/DS,lookup OM GE (Int) 01 100000 (500)/IS,-890
lookup OM GE (Int) 01 100000 (500)/DS,lookup OM GE (Int) 01 100000 (500)/TS,-958
lookup MM EQ (Int) 01 100000/DS,lookup MM EQ (Int) 01 100000/IS,-418
lookup MM EQ (Int) 01 100000/DS,lookup MM EQ (Int) 01 100000/TS,-160
lookup OO EQ (Int) 01 200000/DS,lookup OO EQ (Int) 01 200000/Map,75
lookup OO EQ (Int) 01 200000/DS,lookup OO EQ (Int) 01 200000/IS,-466
lookup OO EQ (Int) 01 200000/DS,lookup OO EQ (Int) 01 200000/TS,-21
lookup OO GE (Int) 01 200000 (500)/DS,lookup OO GE (Int) 01 200000 (500)/IS,-431
lookup OO GE (Int) 01 200000 (500)/DS,lookup OO GE (Int) 01 200000 (500)/TS,-620
lookup OM EQ (Int) 01 200000/DS,lookup OM EQ (Int) 01 200000/IS,-462
lookup OM EQ (Int) 01 200000/DS,lookup OM EQ (Int) 01 200000/TS,-153
lookup OM GE (Int) 01 200000 (500)/DS,lookup OM GE (Int) 01 200000 (500)/IS,-869
lookup OM GE (Int) 01 200000 (500)/DS,lookup OM GE (Int) 01 200000 (500)/TS,-926
lookup MM EQ (Int) 01 200000/DS,lookup MM EQ (Int) 01 200000/IS,-403
lookup MM EQ (Int) 01 200000/DS,lookup MM EQ (Int) 01 200000/TS,-155
